"","Sample_ID","Sample_date","Sample_site","Response","Value"
"193","19970610-8-994",1997-06-10,"8-994","Lepto",0
"194","19970617-8-994",1997-06-17,"8-994","Lepto",0
"195","19970620-14-972",1997-06-20,"14-972","Lepto",0
"196","19970620-16-970",1997-06-20,"16-970","Lepto",0
"197","19970624-27-918",1997-06-24,"27-918","Lepto",5.95587485113157
"198","19970624-29-905",1997-06-24,"29-905","Lepto",0
"199","19970624-36-873",1997-06-24,"36-873","Lepto",3.98495234670201
"200","19970624-37-890",1997-06-24,"37-890","Lepto",6.48207465561131
"201","19970711-14-972",1997-07-11,"14-972","Lepto",0
"202","19970711-16-970",1997-07-11,"16-970","Lepto",0
"203","19970711-27-918",1997-07-11,"27-918","Lepto",0
"204","19970711-29-905",1997-07-11,"29-905","Lepto",0.543861698584826
"205","19970711-36-873",1997-07-11,"36-873","Lepto",0
"206","19970711-37-890",1997-07-11,"37-890","Lepto",10.970456149119
"207","19970711-8-994",1997-07-11,"8-994","Lepto",12.1227256171361
"208","19970721-14-972",1997-07-21,"14-972","Lepto",20.4423600214748
"209","19970721-8-994",1997-07-21,"8-994","Lepto",14.6340975456656
"210","19970723-16-970",1997-07-23,"16-970","Lepto",3.3373879238079
"211","19970724-27-918",1997-07-24,"27-918","Lepto",29.2181564945639
"212","19970724-29-905",1997-07-24,"29-905","Lepto",6.44655574984065
"213","19970731-36-873",1997-07-31,"36-873","Lepto",1.70117815504684
"214","19970731-37-890",1997-07-31,"37-890","Lepto",0
"215","19970819-16-970",1997-08-19,"16-970","Lepto",0
"216","19970819-8-994",1997-08-19,"8-994","Lepto",0
"217","19970825-14-972",1997-08-25,"14-972","Lepto",0
"218","19970826-27-918",1997-08-26,"27-918","Lepto",6.41648784807007
"219","19970826-29-905",1997-08-26,"29-905","Lepto",3.40199048639651
"220","19970826-36-873",1997-08-26,"36-873","Lepto",0.492346277584694
"221","19970826-37-890",1997-08-26,"37-890","Lepto",0
"222","19970922-14-972",1997-09-22,"14-972","Lepto",0.219317640343557
"223","19970922-8-994",1997-09-22,"8-994","Lepto",0
"224","19970924-16-970",1997-09-24,"16-970","Lepto",0
"225","19971006-27-918",1997-10-06,"27-918","Lepto",0
"226","19971006-29-905",1997-10-06,"29-905","Lepto",0.712922263670476
"227","19971006-36-873",1997-10-06,"36-873","Lepto",2.73651853284385
"228","19971007-37-890",1997-10-07,"37-890","Lepto",0
"229","19980610-14-972",1998-06-10,"14-972","Lepto",0
"230","19980610-16-970",1998-06-10,"16-970","Lepto",0
"231","19980610-27-918",1998-06-10,"27-918","Lepto",2.86563505495967
"232","19980610-29-905",1998-06-10,"29-905","Lepto",1.74984381629537
"233","19980610-3-996",1998-06-10,"3-996","Lepto",0
"234","19980610-36-873",1998-06-10,"36-873","Lepto",24.1496315088002
"235","19980610-37-890",1998-06-10,"37-890","Lepto",0
"236","19980610-8-994",1998-06-10,"8-994","Lepto",0
"237","19980615-14-972",1998-06-15,"14-972","Lepto",0
"238","19980615-3-996",1998-06-15,"3-996","Lepto",0
"239","19980615-8-994",1998-06-15,"8-994","Lepto",0.665792863114345
"240","19980618-27-918",1998-06-18,"27-918","Lepto",0.057539550230214
"241","19980618-29-905",1998-06-18,"29-905","Lepto",1.2266132648336
"242","19980618-36-873",1998-06-18,"36-873","Lepto",0
"243","19980618-37-890",1998-06-18,"37-890","Lepto",0
"244","19980619-16-970",1998-06-19,"16-970","Lepto",0
"245","19980706-14-972",1998-07-06,"14-972","Lepto",3.9007368120287
"246","19980706-16-970",1998-07-06,"16-970","Lepto",0
"247","19980706-27-918",1998-07-06,"27-918","Lepto",2.46600129718014
"248","19980706-29-905",1998-07-06,"29-905","Lepto",1.97739681938568
"249","19980706-3-996",1998-07-06,"3-996","Lepto",0
"250","19980706-36-873",1998-07-06,"36-873","Lepto",16.542293372462
"251","19980706-37-890",1998-07-06,"37-890","Lepto",0
"252","19980706-8-994",1998-07-06,"8-994","Lepto",0
"253","19980720-14-972",1998-07-20,"14-972","Lepto",0
"254","19980720-3-996",1998-07-20,"3-996","Lepto",0
"255","19980720-8-994",1998-07-20,"8-994","Lepto",0
"256","19980728-27-918",1998-07-28,"27-918","Lepto",0.581685731272997
"257","19980728-29-905",1998-07-28,"29-905","Lepto",0.750655088400819
"258","19980730-36-873",1998-07-30,"36-873","Lepto",1.51778646566519
"259","19980730-37-890",1998-07-30,"37-890","Lepto",12.584454975525
"260","19980813-14-972",1998-08-13,"14-972","Lepto",1.12383452225225
"261","19980813-16-970",1998-08-13,"16-970","Lepto",1.2592165848135
"262","19980813-27-918",1998-08-13,"27-918","Lepto",0
"263","19980813-29-905",1998-08-13,"29-905","Lepto",0.443136134615284
"264","19980813-3-996",1998-08-13,"3-996","Lepto",0
"265","19980813-36-873",1998-08-13,"36-873","Lepto",2.50899387128528
"266","19980813-37-890",1998-08-13,"37-890","Lepto",15.1050799957
"267","19980813-8-994",1998-08-13,"8-994","Lepto",1.34402218882041
"268","19980817-14-972",1998-08-17,"14-972","Lepto",2.56084957375055
"269","19980817-16-970",1998-08-17,"16-970","Lepto",2.2687879523069
"270","19980817-3-996",1998-08-17,"3-996","Lepto",2.75171028673589
"271","19980817-8-994",1998-08-17,"8-994","Lepto",2.64008658100723
"272","19980820-27-918",1998-08-20,"27-918","Lepto",0.195746275972202
"273","19980820-29-905",1998-08-20,"29-905","Lepto",0.280505233793477
"274","19980820-36-873",1998-08-20,"36-873","Lepto",12.1341725247051
"275","19980820-37-890",1998-08-20,"37-890","Lepto",17.8211257969128
"276","19980921-14-972",1998-09-21,"14-972","Lepto",1.71821097249758
"277","19980921-16-970",1998-09-21,"16-970","Lepto",0
"278","19980921-3-996",1998-09-21,"3-996","Lepto",0
"279","19980921-8-994",1998-09-21,"8-994","Lepto",0
"280","19980928-27-918",1998-09-28,"27-918","Lepto",1.0438014087748
"281","19980929-36-873",1998-09-29,"36-873","Lepto",9.50545170738943
"282","19980929-37-890",1998-09-29,"37-890","Lepto",0.849556802615719
"283","19990517-14-972",1999-05-17,"14-972","Lepto",0
